title,date,image,link-from,bio,bio-source,date-active,current-archive,notes
Walker Arts Center: Gallery 9,2020-10-5,gallery9-walker-20201005155928-1922x1055.png,[Internet Retrograde: The Rise of Infomercials](http://felix.openflows.com/html/airworld.html),1996 – New Media Initiatives Department is formed with Gallery 9, a web site for net art. Launches with Piotr Szyhalski. Ding an sich (The Canon Series) (1997) is the first new-media commission.,[Wikipedia](https://en.wikipedia.org/wiki/Walker_Art_Center),,,,
Nasty Nets,2020-10-5,nasty-nets-20201005181657-1922x1055.png,[Rhizome (Classic)](http://classic.rhizome.org/portfolios/artwork/53981/),"Nasty Nets was a 'Surf Club' founded in August of 2006. 'Surf Club' is a term that has been used to describe collaborative artist-run blogs. Surf Clubs specifically served as an outlet for the cultural artifacts that their members excavated from the depths of the web.",[Rhizome (Classic)](http://classic.rhizome.org/portfolios/artwork/53981/),2006-2012,[Rhizome Artbase](http://archive.rhizome.org/artbase/53981/nastynets.com/),
Transborder Immigrant Tool,2020-10-5,tbt-20201005190715-1922x1055.png,[Rhizome Anthology](http://pactac.net/?ddownload=1761),Project Catalog,[Rhizome Anthology](https://anthology.rhizome.org/transborder-immigrant-tool),2007-today,[Internet Archive](https://web.archive.org/web/20180412033102if_/http://pactac.net:80/?ddownload=1761),
Who is Flora?,2020-10-11,who-is-flora-20201011164743-1922x1055.png,[Rhizome Anthology](https://rhizome.org/art/artbase/artwork/who-is-flora/),Inspired by an abandoned pile of postcards Who Is Flora is an interactive narrative that follows a woman traveling across America in the 1940s.,[Rhizome Anthology](https://rhizome.org/art/artbase/artwork/who-is-flora/),1999-2020 (due to the deprication of Flash in all major browsers),[Who is Flora? on Conifer](https://conifer.rhizome.org/schmudde/who-is-flora),audio does not work
Telequitter,2020-10-11,telequitter-20201011183804-1922x1055.png,,TeleQuitter: the next generation of telecommuting.,[Internet Archive](https://web.archive.org/web/20120110020835/http://www.telequitter.com/),2005-2013,[Internet Archive](https://web.archive.org/web/20120110020835/http://www.telequitter.com/),artwork does not work on the internet archive
Toy War,2020-10-13,toywar-20201013182351-1922x1055.png,[eToy.com](http://history.etoy.com/stories/entries/49/index.html),The TOYWAR.com resistance game was launched to protect etoy from aggressive take-over attempts and to win the historic domain name battle between the etoy.CORPORATION (legendary internet art giant incorporated 1994) and eToys Inc. (one of the biggest e-commerce companies incorporated 1996),[toywar.com on the Internet Archive](https://web.archive.org/web/20000510102028/http://toywar.com/),1999-2000,[Internet Archive](https://web.archive.org/web/20000510102028/http://toywar.com/),only the landing page works correctly
